fraction,split_name,assay_id,assay_type,auroc,auprc,test_set_length,num_actives,num_inactives,n_train_compounds,n_valid_compounds_unused,n_test_compounds,n_train_labels,n_train_pos,n_train_neg,feature,model,constant_fallback
100%,K10000,105_382,cell,0.8615384615384616,0.7611111111111111,18,5,13,10000,2944,3226,35,10,25,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,105_391,cell,0.9,0.5,11,1,10,10000,2944,3226,23,2,21,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,11_21,bacterial,,,10,3,7,10000,2944,3226,23,0,23,Cells_Number_Object_Number,per_assay_lr,True
100%,K10000,110_400,cell,0.7872340425531915,0.12692307692307692,49,2,47,10000,2944,3226,119,3,116,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,116_413,yeast,0.1842105263157895,0.08596491228070174,21,2,19,10000,2944,3226,36,1,35,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,116_414,yeast,,,21,1,20,10000,2944,3226,36,0,36,Cells_Number_Object_Number,per_assay_lr,True
100%,K10000,116_415,yeast,0.4166666666666667,0.39880952380952384,10,4,6,10000,2944,3226,29,3,26,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,16_27,cell,0.7538461538461538,0.5302564102564102,18,5,13,10000,2944,3226,44,8,36,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,169_545,cell,0.7636363636363637,0.5040384615384615,27,5,22,10000,2944,3226,47,1,46,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,17_28,cell,,,15,1,14,10000,2944,3226,36,0,36,Cells_Number_Object_Number,per_assay_lr,True
100%,K10000,170_550,cell,0.8333333333333334,0.325,20,2,18,10000,2944,3226,32,3,29,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,175_559,cell,,,10,1,9,10000,2944,3226,21,0,21,Cells_Number_Object_Number,per_assay_lr,True
100%,K10000,178_684,cell,0.615358126721763,0.32226014508534023,220,22,198,10000,2944,3226,722,46,676,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,180_686,fungal,0.7178828365878726,0.18189644497256466,153,14,139,10000,2944,3226,444,37,407,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,184_606,cell,0.801140350877193,0.5824617163449026,220,30,190,10000,2944,3226,721,48,673,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,19_30,cell,0.7727272727272727,0.5416666666666666,15,4,11,10000,2944,3226,36,6,30,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,191_630,biochem,0.5295950155763239,0.030921406439653944,550,15,535,10000,2944,3226,2207,31,2176,Cells_Number_Object_Number,per_assay_lr,False
100%,K10000,191_675,biochem,0.673076923076923,0.036024527337761875,184,2,182,10000,2944,3226,884,7,877,Cells_Number_Object_Number,per_assay_lr,False
