Plate,Well,Compound Name,Compound SMILES
24297,P12,DMSO,CS(=O)C
24300,A13,DMSO,CS(=O)C
24300,A14,DMSO,CS(=O)C
24300,B13,DMSO,CS(=O)C
24300,B14,DMSO,CS(=O)C
24300,C11,DMSO,CS(=O)C
24300,C12,DMSO,CS(=O)C
24300,C15,DMSO,CS(=O)C
24300,C16,DMSO,CS(=O)C
24300,D11,DMSO,CS(=O)C
24300,D12,DMSO,CS(=O)C
24300,D15,DMSO,CS(=O)C
24300,D16,DMSO,CS(=O)C
24300,E1,DMSO,CS(=O)C
24300,E2,DMSO,CS(=O)C
24300,E9,DMSO,CS(=O)C
24300,E10,DMSO,CS(=O)C
24300,E17,DMSO,CS(=O)C
24300,E18,DMSO,CS(=O)C
24300,F1,DMSO,CS(=O)C
24300,F2,DMSO,CS(=O)C
24300,F9,DMSO,CS(=O)C
24300,F10,DMSO,CS(=O)C
24300,F17,DMSO,CS(=O)C
24300,F18,DMSO,CS(=O)C
24300,G3,DMSO,CS(=O)C
24300,G4,DMSO,CS(=O)C
24300,G19,DMSO,CS(=O)C
24300,G20,DMSO,CS(=O)C
24300,H3,DMSO,CS(=O)C
24300,H4,DMSO,CS(=O)C
24300,H18,DMSO,CS(=O)C
24300,H19,DMSO,CS(=O)C
24300,H20,DMSO,CS(=O)C
24300,I5,DMSO,CS(=O)C
24300,I6,DMSO,CS(=O)C
24300,I21,DMSO,CS(=O)C
24300,I22,DMSO,CS(=O)C
24300,J5,DMSO,CS(=O)C
24300,J6,DMSO,CS(=O)C
24300,J21,DMSO,CS(=O)C
24300,J22,DMSO,CS(=O)C
24300,K7,DMSO,CS(=O)C
24300,K8,DMSO,CS(=O)C
24300,K15,DMSO,CS(=O)C
24300,K16,DMSO,CS(=O)C
24300,K23,DMSO,CS(=O)C
24300,K24,DMSO,CS(=O)C
24300,L7,DMSO,CS(=O)C
24300,L8,DMSO,CS(=O)C
24300,L15,DMSO,CS(=O)C
24300,L16,DMSO,CS(=O)C
24300,L23,DMSO,CS(=O)C
24300,L24,DMSO,CS(=O)C
24300,M9,DMSO,CS(=O)C
24300,M10,DMSO,CS(=O)C
24300,M13,DMSO,CS(=O)C
24300,M14,DMSO,CS(=O)C
24300,N9,DMSO,CS(=O)C
24300,N10,DMSO,CS(=O)C
24300,N13,DMSO,CS(=O)C
24300,N14,DMSO,CS(=O)C
24300,O11,DMSO,CS(=O)C
24300,O12,DMSO,CS(=O)C
24300,P11,DMSO,CS(=O)C
24300,P12,DMSO,CS(=O)C
24301,A13,DMSO,CS(=O)C
24301,A14,DMSO,CS(=O)C
24301,B13,DMSO,CS(=O)C
24301,B14,DMSO,CS(=O)C
24301,C11,DMSO,CS(=O)C
24301,C12,DMSO,CS(=O)C
24301,C15,DMSO,CS(=O)C
24301,C16,DMSO,CS(=O)C
24301,D11,DMSO,CS(=O)C
24301,D12,DMSO,CS(=O)C
24301,D15,DMSO,CS(=O)C
24301,D16,DMSO,CS(=O)C
24301,E1,DMSO,CS(=O)C
24301,E2,DMSO,CS(=O)C
24301,E9,DMSO,CS(=O)C
24301,E10,DMSO,CS(=O)C
24301,E17,DMSO,CS(=O)C
24301,E18,DMSO,CS(=O)C
24301,F1,DMSO,CS(=O)C
24301,F2,DMSO,CS(=O)C
24301,F9,DMSO,CS(=O)C
24301,F10,DMSO,CS(=O)C
24301,F17,DMSO,CS(=O)C
24301,F18,DMSO,CS(=O)C
24301,G3,DMSO,CS(=O)C
24301,G4,DMSO,CS(=O)C
24301,G19,DMSO,CS(=O)C
24301,G20,DMSO,CS(=O)C
24301,H3,DMSO,CS(=O)C
24301,H4,DMSO,CS(=O)C
24301,H19,DMSO,CS(=O)C
24301,H20,DMSO,CS(=O)C
24301,I5,DMSO,CS(=O)C
24301,I6,DMSO,CS(=O)C
24301,I21,DMSO,CS(=O)C
24301,I22,DMSO,CS(=O)C
24301,J5,DMSO,CS(=O)C
24301,J6,DMSO,CS(=O)C
24301,J21,DMSO,CS(=O)C
24301,J22,DMSO,CS(=O)C
24301,K7,DMSO,CS(=O)C
24301,K8,DMSO,CS(=O)C
24301,K15,DMSO,CS(=O)C
24301,K16,DMSO,CS(=O)C
24301,K23,DMSO,CS(=O)C
24301,K24,DMSO,CS(=O)C
24301,L7,DMSO,CS(=O)C
24301,L8,DMSO,CS(=O)C
24301,L15,DMSO,CS(=O)C
24301,L16,DMSO,CS(=O)C
24301,L23,DMSO,CS(=O)C
24301,L24,DMSO,CS(=O)C
24301,M9,DMSO,CS(=O)C
24301,M10,DMSO,CS(=O)C
24301,M13,DMSO,CS(=O)C
24301,M14,DMSO,CS(=O)C
24301,N9,DMSO,CS(=O)C
24301,N10,DMSO,CS(=O)C
24301,N13,DMSO,CS(=O)C
24301,N14,DMSO,CS(=O)C
24301,O11,DMSO,CS(=O)C
24301,O12,DMSO,CS(=O)C
24301,P11,DMSO,CS(=O)C
24301,P12,DMSO,CS(=O)C
24302,A13,DMSO,CS(=O)C
24302,A14,DMSO,CS(=O)C
24302,B13,DMSO,CS(=O)C
24302,B14,DMSO,CS(=O)C
24302,C11,DMSO,CS(=O)C
24302,C12,DMSO,CS(=O)C
24302,C15,DMSO,CS(=O)C
24302,C16,DMSO,CS(=O)C
24302,D11,DMSO,CS(=O)C
24302,D12,DMSO,CS(=O)C
24302,D15,DMSO,CS(=O)C
24302,D16,DMSO,CS(=O)C
24302,E1,DMSO,CS(=O)C
24302,E2,DMSO,CS(=O)C
24302,E9,DMSO,CS(=O)C
24302,E10,DMSO,CS(=O)C
24302,E17,DMSO,CS(=O)C
24302,E18,DMSO,CS(=O)C
24302,F1,DMSO,CS(=O)C
24302,F2,DMSO,CS(=O)C
24302,F9,DMSO,CS(=O)C
24302,F10,DMSO,CS(=O)C
